population,year,trapdate,count,sex,origin,forklength,agedesignation,age.best,age.cwt,age.pit,age.scale,age.length,recapture,oppunch,notes
Catherine,2002,2002-06-15,1,M,Nat,674,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Nat,775,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,630,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,734,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,772,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,827,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Hat,724,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Nat,739,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,698,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Hat,693,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,F,Nat,694,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,655,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,720,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,835,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-15,1,M,Nat,580,Adult,3,NA,NA,NA,3,FALSE,1ROP/CAU,
Catherine,2002,2002-06-17,1,F,Hat,706,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
Catherine,2002,2002-06-17,1,F,Hat,712,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
