season,population,mig.year,n.length,len.mean,len.sd,len.se,len.min,len.max,summer.median.date,len.notes,
fall,Lostine,2002,1087,93.2,10.22,0.31,65,119,,,
winter,Lostine,2002,563,81.5,9.02,0.38,55,116,,,
spring,Lostine,2002,660,92.9,10.79,0.42,59,126,,,
summer,Lostine,2003,509,69.6,10.00,0.44,51,103,2002-08-14,PIT tagged fish only,
fall,Lostine,2003,1820,90.0,8.96,0.21,60,137,,,
winter,Lostine,2003,501,78.6,7.16,0.32,61,100,,,
spring,Lostine,2003,1431,89.0,10.21,0.27,56,130,,,
summer,Lostine,2004,1048,61.7,10.39,0.32,42,100,2003-08-06,,
fall,Lostine,2004,253,90.1,7.63,0.48,64,113,,,
winter,Lostine,2004,500,75.3,7.38,0.33,58,102,,,
spring,Lostine,2004,569,87.9,11.45,0.48,52,132,,,
summer,Lostine,2005,2660,68.7,12.68,0.25,42,110,2004-08-11,,
fall,Lostine,2005,1348,86.4,11.75,0.32,53,121,,,
winter,Lostine,2005,508,79.9,7.89,0.35,58,108,,,
spring,Lostine,2005,682,92.3,10.97,0.42,68,128,,,
summer,Lostine,2006,1139,69.1,11.87,0.35,49,111,2005-08-10,,
fall,Lostine,2006,1390,85.3,9.69,0.26,59,120,,,
winter,Lostine,2006,501,73.4,7.16,0.32,54,107,,,
spring,Lostine,2006,1158,88.4,9.87,0.29,63,137,,,
summer,Lostine,2007,2378,67.0,13.16,0.27,35,137,2006-08-08,,
fall,Lostine,2007,1340,83.4,10.62,0.29,54,180,,,
winter,Lostine,2007,500,75.7,7.60,0.34,56,97,,,
spring,Lostine,2007,515,92.4,10.21,0.45,70,132,,,
summer,Lostine,2008,1001,73.2,10.04,0.32,53,109,2007-08-16,,
fall,Lostine,2008,501,91.4,8.95,0.40,62,132,,,
winter,Lostine,2008,500,78.2,8.27,0.37,56,110,,,
spring,Lostine,2008,948,94.4,9.24,0.30,67,140,,,
summer,Lostine,2009,1180,64.9,11.06,0.32,36,100,2008-08-06,,
fall,Lostine,2009,1240,84.9,10.92,0.31,53,123,,,
winter,Lostine,2009,494,72.3,7.33,0.33,56,114,,,
spring,Lostine,2009,1160,92.0,11.58,0.34,66,148,,,
summer,Lostine,2010,997,66.9,7.89,0.25,52,96,2009-08-25,PIT tagged fish only,
fall,Lostine,2010,1959,84.0,10.62,0.24,50,123,,,
winter,Lostine,2010,500,71.6,7.16,0.32,55,95,,,
spring,Lostine,2010,1814,90.4,9.37,0.22,51,139,,,
summer,Lostine,2011,999,68.8,7.79,0.25,52,102,2010-08-19,,
fall,Lostine,2011,1874,87.2,8.66,0.20,58,121,,,
winter,Lostine,2011,500,77.6,7.60,0.34,56,103,,,
spring,Lostine,2011,2050,90.2,8.60,0.19,64,137,,,
summer,Lostine,2012,1359,60.3,8.67,0.24,39,89,2011-09-07,,
fall,Lostine,2012,2436,73.8,10.36,0.21,44,113,,,
winter,Lostine,2012,513,69.1,8.15,0.36,44,93,,,
spring,Lostine,2012,2041,83.6,9.04,0.20,53,115,,,
summer,Lostine,2013,1711,58.1,9.51,0.23,32,99,2012-08-08,,
fall,Lostine,2013,2295,80.3,10.54,0.22,45,148,,,
winter,Lostine,2013,618,73.7,7.46,0.30,46,93,,,
spring,Lostine,2013,1555,91.0,10.25,0.26,56,143,,,
summer,Lostine,2014,1156,64.7,10.20,0.30,44,110,2013-08-04,,
fall,Lostine,2014,1771,82.5,9.68,0.23,51,125,,,
winter,Lostine,2014,608,76.5,7.64,0.31,50,108,,,
spring,Lostine,2014,1465,91.1,9.19,0.24,68,131,,,
summer,Lostine,2015,998,68.4,8.53,0.27,55,107,2014-08-05,,
fall,Lostine,2015,1542,92.2,8.64,0.22,64,124,,,
winter,Lostine,2015,634,83.7,7.05,0.28,66,105,,,
spring,Lostine,2015,768,95.3,10.53,0.38,54,135,,,
summer,Lostine,2016,997,66.7,9.47,0.30,55,100,2015-07-27,PIT tagged fish only,
fall,Lostine,2016,1546,85.4,10.22,0.26,53,127,,,
winter,Lostine,2016,612,77.5,6.68,0.27,60,102,,,
spring,Lostine,2016,1229,90.3,8.76,0.25,53,135,,,
summer,Lostine,2017,998,70.1,11.69,0.37,55,103,2016-08-01,PIT tagged fish only,
fall,Lostine,2017,1081,90.4,9.86,0.30,58,127,,,
winter,Lostine,2017,597,81.2,7.57,0.31,56,111,,PIT tagged fish only,
spring,Lostine,2017,707,90.4,10.10,0.38,54,134,,,
summer,Lostine,2018,912,69.4,9.36,0.31,55,104,2017-08-01,PIT tagged fish only,
fall,Lostine,2018,1805,85.6,10.20,0.24,49,145,,,
winter,Lostine,2018,600,79.3,7.59,0.31,57,116,,PIT tagged fish only,
spring,Lostine,2018,930,90.4,9.76,0.32,66,147,,,
summer,Lostine,2019,995,70.0,8.20,0.26,55,100,2018-08-06,PIT tagged fish only,
fall,Lostine,2019,1328,88.9,7.65,0.21,65,116,,,
winter,Lostine,2019,599,83.8,6.36,0.26,64,102,,PIT tagged fish only,
spring,Lostine,2019,529,90.4,10.12,0.44,65,130,,,
summer,Minam,1994,995,76.5,7.41,0.23,57,101,,,
summer,Minam,1995,995,68.2,6.18,0.20,58,95,1994-09-06,PIT tagged fish only,
summer,Minam,1996,991,80.5,6.83,0.22,62,115,1995-09-06,PIT tagged fish only,
summer,Minam,1997,320,90.2,7.12,0.40,68,109,1996-09-08,PIT tagged fish only,
summer,Minam,1998,995,76.2,7.23,0.23,58,107,1997-09-03,PIT tagged fish only,
summer,Minam,1999,1003,74.5,7.27,0.23,56,105,1998-08-18,PIT tagged fish only,
summer,Minam,2000,997,70.3,6.90,0.22,54,103,1999-08-17,PIT tagged fish only,
summer,Minam,2001,999,79.1,7.89,0.25,58,109,2000-09-05,PIT tagged fish only,
fall,Minam,2001,514,85.4,9.30,0.41,57,115,,,
spring,Minam,2001,1102,90.1,7.97,0.24,62,148,,,
summer,Minam,2002,993,63.7,6.73,0.21,51,91,2001-08-22,PIT tagged fish only,
fall,Minam,2002,891,74.6,8.36,0.28,55,105,,,
spring,Minam,2002,901,85.0,8.40,0.28,63,131,,,
summer,Minam,2003,999,66.7,7.66,0.24,53,94,2002-08-21,PIT tagged fish only,
fall,Minam,2003,937,78.9,7.96,0.26,64,116,,,
spring,Minam,2003,1135,87.2,10.78,0.32,63,150,,,
summer,Minam,2004,1341,63.3,8.35,0.23,43,94,2003-08-20,,
fall,Minam,2004,826,72.9,7.76,0.27,54,102,,,
spring,Minam,2004,603,84.1,8.59,0.35,63,124,,,
summer,Minam,2005,1020,67.1,7.54,0.24,49,96,2004-08-25,,
fall,Minam,2005,873,78.0,9.75,0.33,55,122,,,
spring,Minam,2005,677,84.8,8.07,0.31,54,131,,,
summer,Minam,2006,1017,68.2,7.60,0.24,52,89,2005-08-24,,
fall,Minam,2006,904,78.5,10.22,0.34,50,118,,,
spring,Minam,2006,733,84.9,7.31,0.27,65,121,,,
summer,Minam,2007,1007,71.8,8.21,0.26,48,99,2006-08-30,,
fall,Minam,2007,776,77.4,10.03,0.36,50,114,,,
spring,Minam,2007,247,91.6,12.26,0.78,68,223,,ELH data sheets confirm that the 223mm WCHS is not a data entry error…,
summer,Minam,2008,1007,68.8,6.57,0.21,48,92,2007-08-21,,
fall,Minam,2008,500,80.3,8.72,0.39,56,103,,,
spring,Minam,2008,1053,89.0,7.14,0.22,63,114,,,
summer,Minam,2009,997,66.3,7.20,0.23,48,92,2008-08-19,,
fall,Minam,2009,870,81.4,9.44,0.32,58,124,,,
spring,Minam,2009,740,88.1,7.89,0.29,68,143,,,
summer,Minam,2010,983,64.3,6.13,0.20,53,86,2009-08-18,PIT tagged fish only,
fall,Minam,2010,1251,75.0,8.84,0.25,51,121,,,
spring,Minam,2010,1383,88.2,8.18,0.22,65,130,,,
summer,Minam,2011,1005,65.8,6.76,0.21,52,86,2010-08-18,,
fall,Minam,2011,1075,81.1,22.62,0.69,52,120,,,
spring,Minam,2011,1729,88.4,7.48,0.18,65,120,,,
summer,Minam,2012,1101,64.2,7.60,0.23,44,90,2011-08-30,,
fall,Minam,2012,1589,75.8,9.17,0.23,49,116,,,
spring,Minam,2012,1188,84.2,7.93,0.23,64,117,,,
summer,Minam,2013,1081,65.0,7.56,0.23,42,90,2012-08-21,,
fall,Minam,2013,2283,73.9,10.03,0.21,43,125,,,
spring,Minam,2013,880,88.0,8.90,0.30,60,134,,,
summer,Minam,2014,1044,67.9,7.75,0.24,44,96,2013-08-21,,
fall,Minam,2014,1397,77.5,10.09,0.27,49,124,,,
spring,Minam,2014,1492,86.2,10.04,0.26,60,156,,,
summer,Minam,2015,995,69.8,7.26,0.23,55,102,2014-08-19,,
fall,Minam,2015,1219,80.0,9.08,0.26,48,126,,,
spring,Minam,2015,1158,91.4,10.89,0.32,62,161,,,
summer,Minam,2016,994,66.9,7.57,0.24,55,94,2015-08-19,PIT tagged fish only,
fall,Minam,2016,1515,77.6,10.51,0.27,48,120,,,
spring,Minam,2016,864,85.2,8.82,0.30,63,132,,,
summer,Minam,2017,994,70.4,7.57,0.24,55,104,2016-08-16,PIT tagged fish only,
fall,Minam,2017,1284,80.5,10.39,0.29,50,122,,,
spring,Minam,2017,542,84.4,9.08,0.39,56,142,,,
summer,Minam,2018,919,65.8,6.37,0.21,55,93,2017-08-14,PIT tagged fish only,
fall,Minam,2018,1547,79.8,11.41,0.29,50,185,,,
spring,Minam,2018,757,88.9,8.80,0.32,59,138,,,
summer,Minam,2019,998,69.7,6.63,0.21,55,96,2018-08-22,PIT tagged fish only,
fall,Minam,2019,1198,83.2,9.35,0.27,58,110,,,
spring,Minam,2019,765,86.3,7.74,0.28,62,133,,,
